# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    38 | train=0.201768 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.84 | mem=383.9 | psnr_b100=19.315, psnr_set14=18.992, psnr_set5=18.193, psnr_urban100=17.736, ssim_b100=0.243, ssim_set14=0.452, ssim_set5=0.338, ssim_urban100=0.787 |
    39 | train=0.151985 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=20.330, psnr_set14=20.101, psnr_set5=19.610, psnr_urban100=18.710, ssim_b100=0.291, ssim_set14=0.520, ssim_set5=0.398, ssim_urban100=0.815 |
    40 | train=0.147012 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.56 | t_val=6.91 | mem=383.9 | psnr_b100=20.544, psnr_set14=20.505, psnr_set5=19.988, psnr_urban100=19.031, ssim_b100=0.280, ssim_set14=0.575, ssim_set5=0.430, ssim_urban100=0.829 |
    41 | train=0.185368 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019964 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.61 | t_val=6.93 | mem=383.9 | psnr_b100=17.749, psnr_set14=17.386, psnr_set5=16.758, psnr_urban100=16.309, ssim_b100=0.231, ssim_set14=0.467, ssim_set5=0.359, ssim_urban100=0.732 |
    42 | train=0.133699 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019926 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.65 | t_val=6.92 | mem=383.9 | psnr_b100=20.134, psnr_set14=19.815, psnr_set5=19.625, psnr_urban100=18.524, ssim_b100=0.274, ssim_set14=0.465, ssim_set5=0.376, ssim_urban100=0.814 |
    43 | train=0.130627 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019888 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.57 | t_val=6.92 | mem=383.9 | psnr_b100=19.801, psnr_set14=19.601, psnr_set5=19.315, psnr_urban100=18.368, ssim_b100=0.281, ssim_set14=0.522, ssim_set5=0.412, ssim_urban100=0.789 |
    44 | train=0.166421 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019851 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.59 | t_val=6.94 | mem=383.9 | psnr_b100=18.100, psnr_set14=17.935, psnr_set5=16.983, psnr_urban100=16.671, ssim_b100=0.231, ssim_set14=0.537, ssim_set5=0.388, ssim_urban100=0.772 |
    45 | train=0.108742 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019813 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.59 | t_val=6.95 | mem=383.9 | psnr_b100=19.874, psnr_set14=19.470, psnr_set5=19.168, psnr_urban100=18.235, ssim_b100=0.285, ssim_set14=0.542, ssim_set5=0.415, ssim_urban100=0.812 |
    46 | train=0.118853 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019775 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.55 | t_val=6.91 | mem=383.9 | psnr_b100=22.244, psnr_set14=22.285, psnr_set5=22.723, psnr_urban100=20.669, ssim_b100=0.358, ssim_set14=0.583, ssim_set5=0.488, ssim_urban100=0.872 |
    47 | train=0.132320 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019738 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.56 | t_val=6.91 | mem=383.9 | psnr_b100=22.007, psnr_set14=21.957, psnr_set5=22.234, psnr_urban100=20.437, ssim_b100=0.344, ssim_set14=0.588, ssim_set5=0.487, ssim_urban100=0.859 |
    48 | train=0.090065 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0197 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.56 | t_val=6.92 | mem=383.9 | psnr_b100=20.872, psnr_set14=20.703, psnr_set5=21.205, psnr_urban100=19.594, ssim_b100=0.323, ssim_set14=0.586, ssim_set5=0.505, ssim_urban100=0.853 |
    49 | train=0.106189 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019663 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.59 | t_val=6.95 | mem=383.9 | psnr_b100=22.463, psnr_set14=22.158, psnr_set5=22.404, psnr_urban100=20.552, ssim_b100=0.386, ssim_set14=0.636, ssim_set5=0.534, ssim_urban100=0.872 |
    50 | train=0.110364 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019626 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.57 | t_val=6.93 | mem=383.9 | psnr_b100=22.472, psnr_set14=22.390, psnr_set5=22.609, psnr_urban100=20.682, ssim_b100=0.379, ssim_set14=0.625, ssim_set5=0.520, ssim_urban100=0.871 |
    51 | train=0.113032 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019588 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.56 | t_val=6.92 | mem=383.9 | psnr_b100=22.074, psnr_set14=21.957, psnr_set5=21.691, psnr_urban100=20.222, ssim_b100=0.361, ssim_set14=0.611, ssim_set5=0.508, ssim_urban100=0.845 |
    52 | train=0.103999 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.019551 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.62 | t_val=6.97 | mem=383.9 | psnr_b100=21.261, psnr_set14=21.025, psnr_set5=20.963, psnr_urban100=19.490, ssim_b100=0.312, ssim_set14=0.534, ssim_set5=0.424, ssim_urban100=0.837 |
