    61 | base=0.189502 | val=0.340985 | acc1=0.8921 | Wμ=2.411 | Aμ=5.042 | Wmax=4.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=0.146778 | val=0.444213 | acc1=0.8613 | Wμ=2.213 | Aμ=4.934 | Wmax=3.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=0.198134 | val=0.468608 | acc1=0.8612 | Wμ=2.047 | Aμ=4.839 | Wmax=3.700 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=0.212854 | val=0.462108 | acc1=0.8591 | Wμ=1.902 | Aμ=4.750 | Wmax=3.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=0.277901 | val=0.426297 | acc1=0.8689 | Wμ=1.786 | Aμ=4.666 | Wmax=3.459 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=0.281805 | val=0.454395 | acc1=0.8619 | Wμ=1.688 | Aμ=4.587 | Wmax=3.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    73 | base=0.296652 | val=0.576098 | acc1=0.8237 | Wμ=1.597 | Aμ=4.496 | Wmax=3.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=0.332106 | val=0.468438 | acc1=0.8523 | Wμ=1.527 | Aμ=4.385 | Wmax=3.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=0.411055 | val=0.533812 | acc1=0.8323 | Wμ=1.471 | Aμ=4.285 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=0.425510 | val=0.530294 | acc1=0.8322 | Wμ=1.420 | Aμ=4.200 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    81 | base=0.408232 | val=0.492491 | acc1=0.8459 | Wμ=1.371 | Aμ=4.097 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    83 | base=0.435453 | val=0.687057 | acc1=0.7861 | Wμ=1.327 | Aμ=3.980 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    85 | base=0.383354 | val=0.875868 | acc1=0.7520 | Wμ=1.285 | Aμ=3.877 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    87 | base=0.474408 | val=0.817845 | acc1=0.7522 | Wμ=1.249 | Aμ=3.753 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    89 | base=0.513165 | val=1.528081 | acc1=0.6619 | Wμ=1.216 | Aμ=3.620 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    91 | base=0.483313 | val=0.657681 | acc1=0.7903 | Wμ=1.189 | Aμ=3.512 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    93 | base=0.466101 | val=1.159371 | acc1=0.6657 | Wμ=1.162 | Aμ=3.371 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
