    93 | base=0.467356 | val=1.301168 | acc1=0.6655 | Wμ=1.213 | Aμ=3.490 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    95 | base=0.517875 | val=0.689488 | acc1=0.7793 | Wμ=1.186 | Aμ=3.349 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    97 | base=0.512537 | val=1.042324 | acc1=0.7176 | Wμ=1.165 | Aμ=3.263 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    99 | base=0.512815 | val=0.900933 | acc1=0.7293 | Wμ=1.144 | Aμ=3.122 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   101 | base=0.506652 | val=0.819658 | acc1=0.7621 | Wμ=1.123 | Aμ=3.013 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   103 | base=0.494557 | val=0.547794 | acc1=0.8251 | Wμ=1.104 | Aμ=2.927 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   105 | base=0.552786 | val=1.524527 | acc1=0.6009 | Wμ=1.085 | Aμ=2.802 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   107 | base=0.474006 | val=0.761199 | acc1=0.7602 | Wμ=1.068 | Aμ=2.706 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   109 | base=0.563958 | val=0.597843 | acc1=0.8164 | Wμ=1.055 | Aμ=2.656 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   111 | base=0.558242 | val=1.912615 | acc1=0.5078 | Wμ=1.044 | Aμ=2.521 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   113 | base=0.533639 | val=0.675053 | acc1=0.7885 | Wμ=1.036 | Aμ=2.442 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   115 | base=0.598787 | val=1.333499 | acc1=0.6186 | Wμ=1.030 | Aμ=2.334 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   117 | base=0.592806 | val=0.632097 | acc1=0.7978 | Wμ=1.027 | Aμ=2.287 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
