    49 | train=0.046449 | val=nan | lr=0.01 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=25.567, psnr_set14=25.539, psnr_set5=28.042, psnr_urban100=23.041, ssim_b100=0.610, ssim_set14=0.767, ssim_set5=0.771, ssim_urban100=0.919 |
    50 | train=0.040291 | val=nan | lr=0.01 | t_train=12.67 | t_val=12.02 | mem=383.9 | psnr_b100=24.479, psnr_set14=24.279, psnr_set5=25.853, psnr_urban100=22.366, ssim_b100=0.603, ssim_set14=0.762, ssim_set5=0.760, ssim_urban100=0.916 |
    51 | train=0.034098 | val=nan | lr=0.01 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=24.602, psnr_set14=24.535, psnr_set5=26.375, psnr_urban100=22.377, ssim_b100=0.644, ssim_set14=0.791, ssim_set5=0.799, ssim_urban100=0.920 |
    52 | train=0.047378 | val=nan | lr=0.01 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=25.692, psnr_set14=25.427, psnr_set5=27.808, psnr_urban100=23.129, ssim_b100=0.661, ssim_set14=0.800, ssim_set5=0.812, ssim_urban100=0.920 |
    53 | train=0.021687 | val=nan | lr=0.01 | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=26.154, psnr_set14=26.085, psnr_set5=29.090, psnr_urban100=23.411, ssim_b100=0.682, ssim_set14=0.813, ssim_set5=0.836, ssim_urban100=0.928 |
    54 | train=0.022253 | val=nan | lr=0.01 | t_train=12.87 | t_val=12.13 | mem=383.9 | psnr_b100=26.019, psnr_set14=25.997, psnr_set5=28.915, psnr_urban100=23.353, ssim_b100=0.672, ssim_set14=0.808, ssim_set5=0.832, ssim_urban100=0.927 |
    55 | train=0.021538 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=25.574, psnr_set14=25.604, psnr_set5=28.230, psnr_urban100=23.082, ssim_b100=0.661, ssim_set14=0.802, ssim_set5=0.822, ssim_urban100=0.925 |
    56 | train=0.019736 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=26.165, psnr_set14=26.073, psnr_set5=29.166, psnr_urban100=23.409, ssim_b100=0.678, ssim_set14=0.809, ssim_set5=0.834, ssim_urban100=0.925 |
    57 | train=0.019681 | val=nan | lr=0.01 | t_train=12.82 | t_val=12.18 | mem=383.9 | psnr_b100=26.095, psnr_set14=26.010, psnr_set5=28.941, psnr_urban100=23.361, ssim_b100=0.680, ssim_set14=0.814, ssim_set5=0.838, ssim_urban100=0.928 |
    58 | train=0.018501 | val=nan | lr=0.009982 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=25.777, psnr_set14=25.648, psnr_set5=28.266, psnr_urban100=23.160, ssim_b100=0.681, ssim_set14=0.815, ssim_set5=0.845, ssim_urban100=0.927 |
    59 | train=0.017529 | val=nan | lr=0.0099631 | t_train=12.96 | t_val=12.29 | mem=383.9 | psnr_b100=25.959, psnr_set14=25.981, psnr_set5=28.941, psnr_urban100=23.298, ssim_b100=0.668, ssim_set14=0.806, ssim_set5=0.835, ssim_urban100=0.926 |
    60 | train=0.016743 | val=nan | lr=0.0099442 | t_train=12.82 | t_val=12.17 | mem=383.9 | psnr_b100=26.236, psnr_set14=26.220, psnr_set5=29.433, psnr_urban100=23.477, ssim_b100=0.688, ssim_set14=0.816, ssim_set5=0.846, ssim_urban100=0.928 |
    61 | train=0.016578 | val=nan | lr=0.0099253 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=26.167, psnr_set14=26.122, psnr_set5=29.143, psnr_urban100=23.432, ssim_b100=0.685, ssim_set14=0.814, ssim_set5=0.841, ssim_urban100=0.928 |
    62 | train=0.022890 | val=nan | lr=0.0099064 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=25.027, psnr_set14=25.127, psnr_set5=27.423, psnr_urban100=22.731, ssim_b100=0.663, ssim_set14=0.797, ssim_set5=0.812, ssim_urban100=0.922 |
    63 | train=0.023588 | val=nan | lr=0.0098876 | t_train=12.88 | t_val=12.14 | mem=383.9 | psnr_b100=24.957, psnr_set14=25.142, psnr_set5=27.589, psnr_urban100=22.694, ssim_b100=0.668, ssim_set14=0.797, ssim_set5=0.795, ssim_urban100=0.918 |
    64 | train=0.019413 | val=nan | lr=0.0098689 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=26.232, psnr_set14=26.206, psnr_set5=29.399, psnr_urban100=23.463, ssim_b100=0.685, ssim_set14=0.816, ssim_set5=0.846, ssim_urban100=0.928 |
    65 | train=0.022291 | val=nan | lr=0.0098501 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=26.221, psnr_set14=26.129, psnr_set5=29.263, psnr_urban100=23.450, ssim_b100=0.683, ssim_set14=0.816, ssim_set5=0.845, ssim_urban100=0.928 |
    66 | train=0.021878 | val=nan | lr=0.0098314 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=26.221, psnr_set14=26.204, psnr_set5=29.379, psnr_urban100=23.460, ssim_b100=0.679, ssim_set14=0.810, ssim_set5=0.838, ssim_urban100=0.927 |
    67 | train=0.016694 | val=nan | lr=0.0098128 | t_train=12.86 | t_val=12.20 | mem=383.9 | psnr_b100=26.232, psnr_set14=26.228, psnr_set5=29.401, psnr_urban100=23.479, ssim_b100=0.689, ssim_set14=0.817, ssim_set5=0.847, ssim_urban100=0.928 |
    68 | train=0.024504 | val=nan | lr=0.0097941 | t_train=12.80 | t_val=12.13 | mem=383.9 | psnr_b100=26.041, psnr_set14=26.052, psnr_set5=28.990, psnr_urban100=23.388, ssim_b100=0.683, ssim_set14=0.812, ssim_set5=0.833, ssim_urban100=0.926 |
    69 | train=0.024346 | val=nan | lr=0.0097755 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=26.213, psnr_set14=26.199, psnr_set5=29.259, psnr_urban100=23.461, ssim_b100=0.680, ssim_set14=0.811, ssim_set5=0.835, ssim_urban100=0.923 |
